loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,loan_status
3600.0, 36 months,6.03,109.57,A,2.0,RENT,45000.0,Not Verified,credit_card,MA,11.52,0.0,0.0,11.0,3433.0,11.8,22.0,1
19575.0, 60 months,16.02,476.24,D,10.0,MORTGAGE,56000.0,Verified,home_improvement,OH,21.58,0.0,0.0,9.0,21405.0,39.9,26.0,1
16000.0, 36 months,13.06,539.57,C,2.0,RENT,120000.0,Not Verified,small_business,CA,6.38,0.0,1.0,10.0,13503.0,41.9,16.0,1
3800.0, 36 months,6.76,116.92,A,1.0,RENT,55000.0,Verified,credit_card,DC,12.77,0.0,0.0,8.0,13111.0,46.3,32.0,1
25000.0, 36 months,7.49,524.07,A,0.0,OWN,150075.0,Verified,moving,NY,6.4,0.0,0.0,7.0,0.0,0.0,28.0,1
7500.0, 36 months,8.07,235.25,A,1.0,MORTGAGE,150000.0,Not Verified,home_improvement,MA,2.72,0.0,4.0,15.0,23678.0,24.4,60.0,1
10000.0, 36 months,7.74,312.19,A,2.0,MORTGAGE,37000.0,Not Verified,debt_consolidation,VA,16.02,0.0,0.0,6.0,15520.0,52.6,32.0,1
2000.0, 36 months,8.59,63.23,A,4.0,MORTGAGE,28880.0,Not Verified,car,CA,15.96,0.0,0.0,6.0,4545.0,16.2,12.0,1
12000.0, 36 months,11.99,398.52,B,10.0,OWN,105859.0,Source Verified,debt_consolidation,KY,14.82,0.0,1.0,10.0,18865.0,52.0,20.0,1
9800.0, 60 months,19.69,257.96,E,2.0,MORTGAGE,64083.0,Source Verified,debt_consolidation,RI,14.89,1.0,1.0,8.0,5350.0,79.9,21.0,1
6000.0, 36 months,6.03,182.62,A,10.0,MORTGAGE,50364.0,Source Verified,other,MA,15.06,0.0,1.0,8.0,29274.0,38.4,32.0,1
20000.0, 60 months,15.27,478.64,C,10.0,OWN,78216.0,Verified,debt_consolidation,CA,10.79,0.0,1.0,8.0,25161.0,80.3,21.0,0
11100.0, 36 months,10.59,361.25,B,3.0,RENT,50000.0,Source Verified,debt_consolidation,MO,25.08,0.0,5.0,10.0,10560.0,43.8,42.0,1
14400.0, 36 months,14.27,494.05,C,10.0,OWN,94104.0,Source Verified,wedding,SD,9.86,1.0,2.0,5.0,3718.0,74.4,57.0,1
10800.0, 36 months,14.42,371.34,D,3.0,RENT,34000.0,Verified,vacation,MA,6.78,0.0,0.0,3.0,932.0,15.5,5.0,1
